BODY,BODY NAME,SERVICE CODE,ORGANISATIONAL UNIT,ORGANISATIONAL UNIT CODE,EXPENDITURE CATEGORY,EXPENDITURE CODE,DATE (POSTING DATE),TRANSACTION NUMBER,AMOUNT,SUPPLIER NAME,SUPPLIER ID,Year,Month
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,IT - Contracts,23600,Computer Software - Maintenance,450850,14/03/2023,5100495724,565.68,Tyco Integrated Fire & Security,105428,2023,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,IT - Contracts,23600,Computer Software - Maintenance,450850,25/07/2022,5100504320,5761.8,Phoenix Software Ltd,105022,2023,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,IT - Contracts,23600,Computer Software - Maintenance,450850,25/07/2022,5100504321,477908.2,Phoenix Software Ltd,105022,2023,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,Printing & Graphics,23040,Materials,400500,07/11/2022,5100515685,684.0,WL Coller Ltd,106299,2023,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,ICT- Schools,23500,Computer Software - Maintenance,450850,23/11/2022,5100517459,2613.82,Phoenix Software Ltd,105022,2023,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,ICT- Schools,23500,Computer Software - Maintenance,450850,16/12/2022,5100518897,878.61,Phoenix Software Ltd,105022,2023,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,ICT Projects,23300,Computer Software - Maintenance,450850,06/12/2022,5100518993,1177.45,Phoenix Software Ltd,105022,2023,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,ICT- Schools,23500,Computer Software - Purchase,450800,09/01/2023,5100522741,1646.72,Phoenix Software Ltd,105022,2023,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Local Bus Contracts,44430,Payments To Operator,530150,30/01/2023,5100525277,761.0,Traveline Information Ltd,115419,2023,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Housing Repairs,43837,Materials,400500,07/03/2023,5100525355,1637.5,Penketh & Sankey Carpets Flooring,108651,2023,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Veh Maint. Materials,300000,02/02/2023,5100525884,1132.9,Dennis Eagle Parts,104661,2023,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Facilities Management,41422,Equipment Purchase & Contract,400000,13/02/2023,5100527180,680.0,General Utilities Services Ltd,101975,2023,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Construction Stores Overhead Account,41320,Materials,400500,14/02/2023,5100527367,2041.2,Cromwell Polythene Ltd,112559,2023,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Construction Stores Overhead Account,41320,Materials,400500,14/02/2023,5100527367,1821.6,Cromwell Polythene Ltd,112559,2023,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Construction Stores Overhead Account,41320,Uniforms,420000,14/02/2023,5100527422,3152.2,Parker Merchanting Ltd,105007,2023,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Telecare/Sensory,54560,Health Awareness,441950,27/02/2023,5100528994,1456.0,Tunstall Healthcare UK Ltd,105427,2023,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,CWD Care Purchasing,32212,Supplies & Services - Covid 19,499919,02/03/2023,5100529641,742.11,Bright Futures Care Ltd,114579,2023,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Petrol,300050,03/03/2023,5100529766,2498.47,Standard Fuel Oils Ltd,117478,2023,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Livewire Trust,53190,Consult.& Prof. Serv,440000,03/03/2023,5100529776,2200.7,Bevan Brittan,102113,2023,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Highways LTP,82004,Consult.& Prof. Serv,440000,07/03/2023,5100530212,15080.0,Mott Macdonald Ltd,104950,2023,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Crematorium,41411,Resaleables,400600,08/03/2023,5100530306,848.0,Vivedia Ltd,116354,2023,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Highways LTP,82004,Carriageway-Resurfacing,532250,08/03/2023,5100530460,3659.15,A D D Loop Cutting Services Ltd,105312,2023,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Highways Other,82005,Carriageway-Resurfacing,532250,09/03/2023,5100530551,1273.44,A D D Loop Cutting Services Ltd,105312,2023,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Children with Disabilities,31005,Fees (Including Agents Fees),441450,09/03/2023,5100530561,2330.26,Paradigm Professional Consultancy,118959,2023,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,COR,Investment Property Acquisitions,62095,Consult.& Prof. Serv,440000,09/03/2023,5100530576,3000.0,CBRE Limited,113065,2023,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Cemeteries,41410,Materials,400500,09/03/2023,5100530579,544.0,Teleshore Uk,107211,2023,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,Civic,11440,Stationery,430150,09/03/2023,5100530580,578.47,Thomas Fattorini Ltd,104710,2023,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,Individual Electoral Registration,11660,External Printing,430100,09/03/2023,5100530592,1583.05,Civica Election Services Limited,101138,2023,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,PIO,People & Improvement Other,85002,Lifts from Stock,400850,09/03/2023,5100530608,5540.5,AMW Lift & Mobility Services Ltd,112766,2023,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Core Operational Business,41730,Materials,400500,09/03/2023,5100530621,780.0,Duttons Traffic Management Services,115913,2023,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Core Operational Business,41730,Materials,400500,09/03/2023,5100530621,780.0,Duttons Traffic Management Services,115913,2023,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Core Operational Business,41730,Materials,400500,09/03/2023,5100530621,780.0,Duttons Traffic Management Services,115913,2023,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Core Operational Business,41730,Materials,400500,09/03/2023,5100530621,780.0,Duttons Traffic Management Services,115913,2023,April
