BODY,BODY NAME,SERVICE CODE,ORGANISATIONAL UNIT,ORGANISATIONAL UNIT CODE,EXPENDITURE CATEGORY,EXPENDITURE CODE,DATE (POSTING DATE),TRANSACTION NUMBER,AMOUNT,SUPPLIER NAME,SUPPLIER ID,Year,Month
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Construction Stores Overhead Account,41320,Materials,400500,24/01/2022,5100484229.0,2759.4,Cromwell Polythene Ltd,112559,2022,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Construction Stores Overhead Account,41320,Materials,400500,24/01/2022,5100484229.0,1414.4,Cromwell Polythene Ltd,112559,2022,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Equipment Store,54930,Equipment Purchase & Contract,400000,01/02/2022,5100485056.0,2656.0,Newlyn Healthcare Ltd,101429,2022,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Equipment Store,54930,Equipment Purchase & Contract,400000,01/02/2022,5100485057.0,2636.0,Newlyn Healthcare Ltd,101429,2022,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Equipment Store,54930,Equipment Purchase & Contract,400000,15/02/2022,5100486316.0,3701.0,Newlyn Healthcare Ltd,101429,2022,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Development Control,43430,Consult.& Prof. Serv,440000,14/02/2022,5100486625.0,1258.0,Vivid Resourcing Limited,115752,2022,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,One - Off ICT Costs,23200,Consult.& Prof. Serv,440000,14/02/2022,5100486655.0,2385.0,Phoenix Software Ltd,105022,2022,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Core Operational Business,41730,Outdoor Pursuit,490550,16/02/2022,5100486910.0,2320.0,PPC Concrete Products Ltd,118649,2022,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Highways LTP,82004,Bridges - Structural,532800,18/02/2022,5100487163.0,120000.0,Tarmac,100489,2022,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,NEO,IT Projects,83003,Computer Software - Maintenance,450850,02/03/2022,5100488277.0,17817.22,Phoenix Software Ltd,105022,2022,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Sankey Canal Maintenace,44125,Consult.& Prof. Serv,440000,08/03/2022,5100488546.0,2400.0,Charles Morgan,117236,2022,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Sankey Canal Maintenace,44125,Consult.& Prof. Serv,440000,08/03/2022,5100488547.0,540.0,Charles Morgan,117236,2022,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Children's Contracts,31116,Accommodation Allowance,550650,04/03/2022,5100488596.0,736.0,Weavers Close Limited,116929,2022,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Training,31203,Subscriptions,470000,08/03/2022,5100489003.0,15911.18,Edge Hill University,104687,2022,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Surface Car Parks,44322,Equipment Purchase & Contract,400000,08/03/2022,5100489006.0,1231.23,Flowbird Smart City UK Ltd,100854,2022,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,DSG - Medical Needs,32002,Eotas Pupil Funding,490350,09/03/2022,5100489140.0,560.0,Integra People,116891,2022,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Traffic and Safety,44350,Equipment Purchase & Contract,400000,10/03/2022,5100489249.0,1390.0,Auto Items Ltd,110058,2022,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,IT - Contracts,23600,Stationery,430150,10/03/2022,5100489256.0,1530.0,Phoenix Software Ltd,105022,2022,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Permanence staff teams,31021,Fees (Including Agents Fees),441450,10/03/2022,5100489257.0,910.0,Child Psychology Service CIC,115739,2022,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Inclusion,32207,Training,190150,10/03/2022,5100489273.0,600.0,SynRJ Limited,115874,2022,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,DSG Post-16 Special Educational Needs,32309,Fees (Including Agents Fees),441450,10/03/2022,5100489299.0,1348.75,TutorRight Limited,116990,2022,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,DSG Post-16 Special Educational Needs,32309,Fees (Including Agents Fees),441450,10/03/2022,5100489300.0,780.0,TutorRight Limited,116990,2022,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,New Bus Depot Dallam Lane,40048,Consult.& Prof. Serv,440000,10/03/2022,5100489338.0,1000.0,Janus Building Design Ltd,118058,2022,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,PIO,People & Improvement Other,85002,Minor Adaptations<750,400700,10/03/2022,5100489347.0,4529.7,Access-Able (UK) Limited,114939,2022,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,SI Project Wk Evidence informed practice,35074,Consult.& Prof. Serv,440000,11/03/2022,5100489369.0,30000.0,Educational Success Partners Ltd,118655,2022,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,PIO,People & Improvement Other,85002,Lifts from Stock,400850,11/03/2022,5100489425.0,2460.0,AMW Lift & Mobility Services Ltd,112766,2022,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,PIO,People & Improvement Other,85002,Lifts from Stock,400850,11/03/2022,5100489426.0,910.0,AMW Lift & Mobility Services Ltd,112766,2022,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,PIO,People & Improvement Other,85002,Lifts from Stock,400850,11/03/2022,5100489428.0,910.0,AMW Lift & Mobility Services Ltd,112766,2022,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,PIO,People & Improvement Other,85002,Lifts from Stock,400850,11/03/2022,5100489429.0,5302.28,AMW Lift & Mobility Services Ltd,112766,2022,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,PIO,People & Improvement Other,85002,Lifts from Stock,400850,11/03/2022,5100489430.0,4170.0,AMW Lift & Mobility Services Ltd,112766,2022,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,PIO,People & Improvement Other,85002,Lifts from Stock,400850,11/03/2022,5100489431.0,4420.0,AMW Lift & Mobility Services Ltd,112766,2022,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,PIO,People & Improvement Other,85002,Lifts from Stock,400850,11/03/2022,5100489432.0,3028.35,AMW Lift & Mobility Services Ltd,112766,2022,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,PIO,People & Improvement Other,85002,Lifts from Stock,400850,11/03/2022,5100489433.0,2981.0,AMW Lift & Mobility Services Ltd,112766,2022,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Urban Traffic Management Control,44370,Signal Equipment,531650,11/03/2022,5100489463.0,1997.01,Yunex Limited,101162,2022,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Urban Traffic Management Control,44370,Signal Equipment,531650,11/03/2022,5100489464.0,790.38,Yunex Limited,101162,2022,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,West Annexe,45161,Maintenance of Plant & Machinery,250050,11/03/2022,5100489466.0,620.0,Generator Power Ltd,117550,2022,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,West Annexe,45161,Maintenance of Plant & Machinery,250050,11/03/2022,5100489467.0,794.92,Generator Power Ltd,117550,2022,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,West Annexe,45161,Maintenance of Plant & Machinery,250050,11/03/2022,5100489468.0,682.2,Generator Power Ltd,117550,2022,April
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Land Drainage,44120,Consult.& Prof. Serv,440000,11/03/2022,5100489469.0,14764.68,Ginger Lehmann Ltd,116636,2022,April
