BODY,BODY NAME,SERVICE CODE,ORGANISATIONAL UNIT,ORGANISATIONAL UNIT CODE,EXPENDITURE CATEGORY,EXPENDITURE CODE,DATE (POSTING DATE),TRANSACTION NUMBER,AMOUNT,SUPPLIER NAME,SUPPLIER ID,Year,Month
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENP,Environment & Regeneration,82000,Computer Software - Purchase,450800,15/03/2019,5100387762,4500.0,European Electronique Limited,116905,2023,May
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,Change Delivery,52210,Computer Software - Purchase,450800,10/02/2022,5100486286,21000.0,Civica Uk Ltd,100585,2023,May
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,PIO,People & Improvement Other,85002,Lifts from Stock,400850,14/02/2022,5100486555,2400.0,AMW Lift & Mobility Services Ltd,112766,2023,May
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Or Rm C'way & F'way,44260,M.C.R.Flexible Cat1,530850,03/08/2022,5100501602,7064.0,Tarmac,100489,2023,May
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Environmental Projects,82007,Building Work,200850,25/08/2022,5100507371,4128.79,Complete Home Energy Systems,111861,2023,May
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,Democratic Services,11400,Equipment Purchase & Contract,400000,02/12/2022,5100518675,4294.08,Public-i Group Ltd,117006,2023,May
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Local Bus Contracts,44430,Payments To Operator,530150,14/12/2022,5100520009,2750.0,Hiltons Coach Travel,104784,2023,May
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Equipment Store,54930,Equipment Purchase & Contract,400000,02/02/2023,5100525905,1338.3,Osprey Healthcare,106076,2023,May
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,Printing & Graphics,23040,Materials,400500,01/03/2023,5100529448,718.0,WL Coller Ltd,106299,2023,May
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ACO,Assistant Chief Executive Other,84003,Consult.& Prof. Serv,440000,03/03/2023,5100529855,5075.0,Lovelock Mitchell Architects,118978,2023,May
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,HR Advisory,20005,Learning Resources,400100,27/03/2023,5100532979,10745.0,Cheshire East Council,118547,2023,May
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,School Brow Depot,41330,Hazardous Waste,530600,04/05/2023,5100533176,525.0,Clean Waste Ltd,117684,2023,May
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,Printing & Graphics,23040,Materials,400500,01/04/2023,5100533229,595.0,WL Coller Ltd,106299,2023,May
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Veh Maint. Materials,300000,04/05/2023,5100533326,523.99,Turner Groundscare,105201,2023,May
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Veh Maint. Materials,300000,04/05/2023,5100533327,1246.84,Gibsons Garden Machinery Ltd,100164,2023,May
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ACO,Assistant Chief Executive Other,84003,Consult.& Prof. Serv,440000,05/05/2023,5100533339,23000.0,Civica Uk Ltd,100585,2023,May
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Birchwood L&TC Club,40066,Consult.& Prof. Serv,440000,09/05/2023,5100533544,935.6,DB3 Architecture and Design,118700,2023,May
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Supporting People Contracts,53260,Sheltd/Xtra Care Hsing and Comm Alarms,535050,02/04/2023,5100533622,1442.44,Warrington Housing Current Acc,101208,2023,May
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Walton Estate,41430,Zoo Materials,401250,03/04/2023,5100533903,3104.07,AVI Fabrications,119189,2023,May
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Public Health Licensing,41550,Consult.& Prof. Serv,440000,18/05/2023,5100533955,1480.0,Buckingham Futures,118389,2023,May
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Highways Drainage,44270,Training,190150,05/05/2023,5100534059,1268.0,Jetchem Systems Ltd,104834,2023,May
