BODY,BODY NAME,SERVICE CODE,ORGANISATIONAL UNIT,ORGANISATIONAL UNIT CODE,EXPENDITURE CATEGORY,EXPENDITURE CODE,DATE (POSTING DATE),TRANSACTION NUMBER,AMOUNT,SUPPLIER NAME,SUPPLIER ID,Year,Month
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,One - Off ICT Costs,23200,Computer Software - Maintenance,450850,10/01/2022,5100482865,1200.0,Civica Uk Ltd,100585,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Trees & Woodland Services,41421,Training,190150,18/02/2022,5100487190,1030.0,Arboricultural Association,116373,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,ICT Projects,23300,ICT Comms - Line Purchase,450150,21/03/2022,5100490425,2272.83,TNP - The Networking People,110271,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,Schools & Libraries Internet Project,23030,ICT Comms - Line Rental,450200,21/03/2022,5100490425,1764.5,TNP - The Networking People,110271,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Maintenance Work - Sub Contractors,301150,20/07/2022,5100491817,525.0,Quartix Ltd,115590,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Vehicle Hire Charges,320000,05/07/2022,5100492335,609.0,F R Sharrock Ltd,105122,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Vehicle Hire Charges,320000,26/07/2022,5100492549,3600.0,F G Rowland Ltd,102555,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Equipment Store,54930,Equipment Purchase & Contract,400000,13/04/2022,5100492949,712.32,Prism Medical UK,108616,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Equipment Store,54930,Equipment Purchase & Contract,400000,13/04/2022,5100492949,572.5,Prism Medical UK,108616,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Veh Maint. Materials,300000,13/04/2022,5100492950,1300.0,Tennants Distribution Limited,103720,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Veh Maint. Materials,300000,13/04/2022,5100492951,650.0,Tennants Distribution Limited,103720,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Traffic and Safety,44350,Consult.& Prof. Serv,440000,04/07/2022,5100493008,1111.66,Step up Security Ltd,116851,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,P.F.I.,43630,Fees (Including Agents Fees),441450,19/04/2022,5100493327,74303.0,Your Housing Group,102933,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Street Lighting Client,44241,Lighting Energy Char,531550,12/05/2022,5100493471,998.94,Npower Electricity,101884,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Veh Maint. Materials,300000,20/04/2022,5100493646,650.0,Tennants Distribution Limited,103720,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Street Lighting Client,44241,Lighting Energy Char,531550,20/05/2022,5100493833,14042.97,Npower Electricity,101884,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,Printing & Graphics,23040,Materials,400500,13/06/2022,5100493879,1920.0,WL Coller Ltd,106299,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,On Street Car Parking,44323,Equipment Purchase & Contract,400000,07/07/2022,5100494779,1004.1,Patrol,103313,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Veh Maint. Materials,300000,06/07/2022,5100495222,650.0,Tennants Distribution Limited,103720,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Highways LTP,82004,Permanent Traffic Regulation Orders,442350,13/07/2022,5100495306,1630.42,TMP UK Ltd,108498,2022,July
