BODY,BODY NAME,SERVICE CODE,ORGANISATIONAL UNIT,ORGANISATIONAL UNIT CODE,EXPENDITURE CATEGORY,EXPENDITURE CODE,DATE (POSTING DATE),TRANSACTION NUMBER,AMOUNT,SUPPLIER NAME,SUPPLIER ID,Year,Month
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Temporary Accomodation,43652,Maintenance Work - Sub Contractors,301150,05/10/2020,5100440907,736.99,Furniture Resource Centre LTD,117178,2021,October
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Virtual School,31112,Looked after children in Warrington,301000,06/12/2020,5100446407,1380.0,The Heath Tech College,110197,2021,October
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Building Control Services,43410,Consult.& Prof. Serv,440000,16/03/2021,5100455735,1370.0,Excavation & Contracting UK Ltd,109146,2021,October
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,Change Delivery,52210,Computer Software - Purchase,450800,24/03/2021,5100456570,21000.0,Civica Uk Ltd,100585,2021,October
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,NEO,IT Projects,83003,Computer Hardware - Purchase,450700,15/09/2021,5100457472,6389.33,Kingsfield Computer Products Ltd,117074,2021,October
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,One - Off ICT Costs,23200,Computer Software - Maintenance,450850,13/05/2021,5100458501,5000.0,Capita Business Services Ltd,105516,2021,October
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,One - Off ICT Costs,23200,Computer Software - Maintenance,450850,13/05/2021,5100458501,7500.0,Capita Business Services Ltd,105516,2021,October
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,HOL,Insurance Fund,91100,Consult.& Prof. Serv,440000,26/04/2021,5100459616,3352.0,Gallagher Bassett International Ltd,104739,2021,October
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Highways Other,82005,Materials,400500,11/10/2021,5100461290,2209.69,LucyZodion Limited,114514,2021,October
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,NEO,IT Projects,83003,Computer Hardware - Purchase,450700,15/06/2021,5100463951,2269.4,Dell,104659,2021,October
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Equipment Store,54930,Equipment Purchase & Contract,400000,07/07/2021,5100465882,886.62,Cefndy Enterprises,104660,2021,October
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport & Environmental Improvements,44560,Consult.& Prof. Serv,440000,07/10/2021,5100465939,1440.0,NSL Services Group,113509,2021,October
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Fostering Collaboration,31115,Other Advertising & Publicity,450050,07/07/2021,5100466012,1230.78,Newsquest Media Group,100070,2021,October
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,Council Tax & Recovery,10320,Computer Software - Purchase,450800,07/07/2021,5100466072,832.0,Capita Business Services Ltd,105516,2021,October
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Veh Maint. Materials,300000,04/10/2021,5100466576,502.99,Turner Groundscare,105201,2021,October
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Highways LTP,82004,Consult.& Prof. Serv,440000,15/10/2021,5100466631,595.0,Nationwide Data Collection,111814,2021,October
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Highways LTP,82004,Materials,400500,15/10/2021,5100466816,25916.09,George Cox & Sons,105471,2021,October
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,Communications,13000,"Campaigns,  Projects and Events",491950,23/07/2021,5100467453,6530.48,Newsquest Media Group,100070,2021,October
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Vehicle Hire Charges,320000,08/10/2021,5100468291,1612.0,F G Rowland Ltd,102555,2021,October
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Vehicle Hire Charges,320000,04/10/2021,5100468631,1232.0,Carroll Plant Ltd,101548,2021,October
