BODY,BODY NAME,SERVICE CODE,ORGANISATIONAL UNIT,ORGANISATIONAL UNIT CODE,EXPENDITURE CATEGORY,EXPENDITURE CODE,DATE (POSTING DATE),TRANSACTION NUMBER,AMOUNT,SUPPLIER NAME,SUPPLIER ID,Year,Month
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,IGO,Property & Estates,86001,Consult.& Prof. Serv,440000,29/09/2022,5100507858,4750.0,4ward Management Ltd,118056,2022,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,IGO,Property & Estates,86001,Consult.& Prof. Serv,440000,29/09/2022,5100507859,4750.0,4ward Management Ltd,118056,2022,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Highways Other,82005,Environmental Works,531050,05/09/2022,5100508708,63630.82,A E Yates Ltd,109758,2022,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Director Adult Social Care,54000,Training,190150,31/08/2022,5100507963,2640.0,A.J.M. Robertson Consulting Limited,118374,2022,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,CIN Team 5,31015,Stationery,430150,30/08/2022,5100507839,1859.0,Abacus Psychology Limited,118125,2022,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Special Schools Transport,33208,Statemented - Special Unit Pupil Transpo,300750,08/09/2022,5100506652,686.25,Abba Cars,105302,2022,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Special Schools Transport,33208,Statemented - Special Unit Pupil Transpo,300750,14/09/2022,5100509715,722.26,Abba Cars,105302,2022,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Padgate House,54760,Agency Supply - GF,180000,17/08/2022,5100506713,849.53,Abicare Health Solutions Ltd,118769,2022,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,South/West - Over 65,54030,Stationery,430150,30/08/2022,5100507898,980.0,Ability Smart Limited,116536,2022,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Intermediate Care at Home,54520,Computer Software - Purchase,450800,08/09/2022,5100509112,3760.0,Access UK Ltd,118542,2022,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Intermediate Care at Home,54520,Computer Software - Purchase,450800,09/09/2022,5100509277,3760.0,Access UK Ltd,118542,2022,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Children with Disabilities,31005,Materials,400500,02/09/2022,5100508441,1372.0,Accolade Social Care CIC,118691,2022,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,CIN Team 3,31003,Materials,400500,02/09/2022,5100508442,2695.0,Accolade Social Care CIC,118691,2022,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,CIN Team 4,31014,Materials,400500,02/09/2022,5100508443,1815.25,Accolade Social Care CIC,118691,2022,September
