BODY,BODY NAME,SERVICE CODE,ORGANISATIONAL UNIT,ORGANISATIONAL UNIT CODE,EXPENDITURE CATEGORY,EXPENDITURE CODE,DATE (POSTING DATE),TRANSACTION NUMBER,AMOUNT,SUPPLIER NAME,SUPPLIER ID,Year,Month
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENP,Environment & Regeneration,82000,Consult.& Prof. Serv,440000,24/10/2019,5100408658,612.5,Civica Uk Ltd,100585,2020,June
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Highways Other,82005,Consult.& Prof. Serv,440000,24/02/2020,5100421040,1000.0,Hydrock Consultants Limited,116675,2020,June
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Recreation & Games,41431,Materials,400500,27/03/2020,5100424857,2856.0,Agrovista Uk Ltd,101700,2020,June
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,IT - Contracts,23600,Computer Software - Maintenance,450850,26/06/2020,5100425118,2726.43,Gandlake Limited,104740,2020,June
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Contracts - SM Commissioning Team 1,55910,Drug Action,443600,06/06/2020,5100425323,28460.71,NHS Business Services Authority,113435,2020,June
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Development Control,43430,Consult.& Prof. Serv,440000,29/05/2020,5100425439,700.0,Park Avenue Recruitment Limited,116840,2020,June
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Waste Recycling,41820,Waste Initiatives,443200,12/06/2020,5100425455,11784.0,Contenur UK Ltd,117538,2020,June
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,IT - Contracts,23600,Computer Software - Purchase,450800,06/06/2020,5100425568,18696.0,Edenhouse Solutions Ltd,114416,2020,June
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Woolston Depot,41331,Oil - Gas,301250,24/06/2020,5100425982,2490.0,Standard Fuel Oils Ltd,117478,2020,June
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Highways Other,82005,Consult.& Prof. Serv,440000,06/06/2020,5100426025,1275.0,Hydrock Consultants Limited,116675,2020,June
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,Financial Protection Team,56130,Consult.& Prof. Serv,440000,06/06/2020,5100426035,678.73,Allied Publicity Services (Man) LTD,117019,2020,June
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,HR Advisory,20005,Consult.& Prof. Serv,440000,22/06/2020,5100426044,8426.83,People Asset Management Ltd,105943,2020,June
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Padgate House,54760,Annual Maintenance,442100,17/06/2020,5100426102,567.0,Shorrock Trichem,104724,2020,June
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Oil - Gas,301250,25/06/2020,5100426174,1264.95,Standard Fuel Oils Ltd,117478,2020,June
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Contracts - SM Commissioning Team 1,55910,Drug Action,443600,07/05/2020,5100426226,592.99,Frontier NX,106478,2020,June
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Maintenance Work - Sub Contractors,301150,10/06/2020,5100426391,577.5,Quartix Ltd,115590,2020,June
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Highways LTP,82004,Materials,400500,15/04/2020,5100426690,1200.0,Smith Bros (Caer Conan) Wh'Sale Ltd,105136,2020,June
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Contracts - SM Commissioning Team 1,55910,Public Health Contract Payments,540000,17/06/2020,5100426790,23444.0,Homestart Warrington,103200,2020,June
