BODY,BODY NAME,SERVICE CODE,ORGANISATIONAL UNIT,ORGANISATIONAL UNIT CODE,EXPENDITURE CATEGORY,EXPENDITURE CODE,DATE (POSTING DATE),TRANSACTION NUMBER,AMOUNT,SUPPLIER NAME,SUPPLIER ID,Year,Month
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Env. Health Public Protection,41530,Training,190150,21/07/2020,5100434915,530.0,Bond Solon Training Ltd,108869,2021,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Fair Trading & Investigations,41500,Training,190150,21/07/2020,5100434916,2120.0,Bond Solon Training Ltd,108869,2021,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,CIN Team 4,31014,Fees (Including Agents Fees),441450,29/09/2020,5100440304,1076.0,Lextox,114551,2021,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Schools (Street Scene),41733,Materials,400500,09/11/2020,5100444102,893.32,M C & M A Stewart Haulage Ltd,105159,2021,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,ICT Centralised Budget,23100,Computer Software - Maintenance,450850,22/02/2021,5100453174,26086.58,Agile Applications Limited,100376,2021,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Highways Other,82005,Consult.& Prof. Serv,440000,12/07/2021,5100457018,2398.16,BT,104542,2021,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Highways LTP,82004,Environmental Works,531050,12/07/2021,5100458221,5682.0,George Cox & Sons,105471,2021,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Waste Recycling,41820,Bring Site Charges,443150,28/07/2021,5100458238,902.1,Wsr Recycling Ltd,101196,2021,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENP,Environment & Regeneration,82000,ICT Comms - Device Purchase,450350,13/04/2021,5100458349,1200.0,TNP - The Networking People,110271,2021,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,IT - Contracts,23600,Computer Software - Purchase,450800,13/04/2021,5100458377,1284.51,Daisy Communications Ltd,107866,2021,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,NEP,Neighbourhood & Community Services,83000,Consult.& Prof. Serv,440000,15/07/2021,5100458920,2850.0,Pm Surveys Ltd,100711,2021,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,School Brow Depot,41330,Hazardous Waste,530600,19/07/2021,5100459405,850.0,Albion Environmental Ltd,103153,2021,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Walton HLF Project,41440,Training,190150,19/07/2021,5100459659,4013.76,Walton Lea Partnership,102953,2021,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,DSG Inter Authority Recoupment,32009,Fees (Including Agents Fees),441450,19/07/2021,5100460357,6403.54,Lancashire County Council,410062,2021,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,South Warington M'way Junction,40057,Consult.& Prof. Serv,440000,30/06/2021,5100460777,5623.0,Atkins Ltd,105752,2021,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Highways LTP,82004,Materials,400500,12/07/2021,5100460827,27664.68,George Cox & Sons,105471,2021,July
