BODY,BODY NAME,SERVICE CODE,ORGANISATIONAL UNIT,ORGANISATIONAL UNIT CODE,EXPENDITURE CATEGORY,EXPENDITURE CODE,DATE (POSTING DATE),TRANSACTION NUMBER,AMOUNT,SUPPLIER NAME,SUPPLIER ID,Year,Month
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Equipment Store,54930,Equipment Purchase & Contract,400000,19/02/2020,5100417914,535.02,Arjo Ltd,105319,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Temporary Accomodation,43652,Maintenance Work - Sub Contractors,301150,18/08/2020,5100426155,1911.68,Furniture Resource Centre LTD,117178,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,COR,Refugees,60300,Looked after children in Warrington,301000,04/06/2020,5100426227,505.75,Kids Planet Warrington,105710,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Town Centre Masterplanning,40046,Consult.& Prof. Serv,440000,09/09/2020,5100432677,4000.0,Perfect Circle JV Ltd,116315,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,South East Urban Extension,40037,Consult.& Prof. Serv,440000,09/09/2020,5100432717,4781.25,Perfect Circle JV Ltd,116315,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Development Control,43430,Consult.& Prof. Serv,440000,10/07/2020,5100433940,2500.0,Sanderson Weatherall LLP,117413,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Traffic and Safety,44350,Traffic Section,531150,15/09/2020,5100434364,505.74,TMP UK Ltd,108498,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Street Lighting Client,44241,Lighting Energy Char,531550,22/09/2020,5100434504,6113.17,Npower Electricity,101884,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Highways LTP,82004,Consult.& Prof. Serv,440000,09/09/2020,5100434538,7195.0,Tracsis Traffic Data Limited,116780,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENP,Environment & Regeneration,82000,Building Work,200850,08/09/2020,5100434618,1440.28,George Cox & Sons,105471,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Golf Course Client,41432,Supplies & Services - Covid 19,499919,21/07/2020,5100434912,700.0,Acts Sound & Lighting,104450,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Schools (Street Scene),41733,Materials,400500,22/07/2020,5100435091,4000.0,David Webster & Sons Ltd,102202,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Highways LTP,82004,Transport - Covid 19,399919,15/09/2020,5100435517,11172.5,Mott Macdonald Ltd,104950,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Highways LTP,82004,Consult.& Prof. Serv,440000,15/09/2020,5100435517,5831.5,Mott Macdonald Ltd,104950,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Trees & Woodland Services,41421,Equipment Purchase & Contract,400000,29/07/2020,5100435573,3469.75,Honey Brothers Limited,117334,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Construction Stores Overhead Account,41320,Uniforms,420000,29/07/2020,5100435582,840.72,Parker Merchanting Ltd,105007,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,IT - Contracts,23600,Computer Software - Maintenance,450850,22/09/2020,5100435599,2400.0,Nta Monitor Limited,100967,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Highways LTP,82004,Environmental Works,531050,08/09/2020,5100435606,32122.39,Blue Arrow Traffic Management Ltd,109292,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Staffing - Cluster Central & West,31510,Materials,400500,08/09/2020,5100435797,750.0,Aardvark Janitorial Suppliers Ltd,100488,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Veh Maint. Materials,300000,09/09/2020,5100435809,802.25,F R Sharrock Ltd,105122,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Equipment Store,54930,Annual Maintenance,442100,28/08/2020,5100435982,535.66,Prism Medical UK,108616,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Highways LTP,82004,Materials,400500,15/09/2020,5100435983,2673.6,Pudsey Diamond Engineering Ltd,105049,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Schools (Street Scene),41733,Supplies & Services - Covid 19,499919,04/08/2020,5100436024,1518.0,Pitchworks Ltd,100388,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Schools (Street Scene),41733,Supplies & Services - Covid 19,499919,04/08/2020,5100436025,12144.0,Pitchworks Ltd,100388,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Schools (Street Scene),41733,Supplies & Services - Covid 19,499919,04/08/2020,5100436025,17832.0,Pitchworks Ltd,100388,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Highways LTP,82004,Environmental Works,531050,04/08/2020,5100436040,1250.0,Dowhigh Ltd,105350,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Planning Policy & Strategy,44530,Public Rights Of Way,531900,04/08/2020,5100436041,610.0,Ecological Landscape Management Ltd,109936,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,West Annexe,45161,Maintenance of Plant & Machinery,250050,04/08/2020,5100436042,1149.45,Generator Power Ltd,117550,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,CYP,Childrens Other,81004,Equipment Purchase & Contract,400000,09/09/2020,5100436069,14172.26,Vision Commercial Kitchens,113087,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Southern Gateway Planning Review,40048,Consult.& Prof. Serv,440000,10/08/2020,5100436128,34207.86,Wire Regeneration Ltd,114690,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Golf Course Client,41432,Resaleables,400600,24/08/2020,5100436141,719.98,Hilton Cabinet Company Liimited,101054,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Highways LTP,82004,Consult.& Prof. Serv,440000,10/08/2020,5100436143,7077.35,Mott Macdonald Ltd,104950,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Veh Maint. Materials,300000,05/08/2020,5100436146,541.52,Johnston Sweepers Ltd,101251,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Core Operational Business,41730,Grounds Maintenance - External,280000,06/08/2020,5100436277,720.0,Duttons Traffic Management Services,115913,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Core Operational Business,41730,Grounds Maintenance - External,280000,06/08/2020,5100436277,720.0,Duttons Traffic Management Services,115913,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Core Operational Business,41730,Grounds Maintenance - External,280000,06/08/2020,5100436277,675.0,Duttons Traffic Management Services,115913,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Core Operational Business,41730,Grounds Maintenance - External,280000,06/08/2020,5100436277,675.0,Duttons Traffic Management Services,115913,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Core Operational Business,41730,Grounds Maintenance - External,280000,06/08/2020,5100436277,720.0,Duttons Traffic Management Services,115913,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Core Operational Business,41730,Grounds Maintenance - External,280000,06/08/2020,5100436277,720.0,Duttons Traffic Management Services,115913,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Core Operational Business,41730,Grounds Maintenance - External,280000,06/08/2020,5100436277,720.0,Duttons Traffic Management Services,115913,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Core Operational Business,41730,Grounds Maintenance - External,280000,06/08/2020,5100436277,720.0,Duttons Traffic Management Services,115913,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Core Operational Business,41730,Grounds Maintenance - External,280000,06/08/2020,5100436277,675.0,Duttons Traffic Management Services,115913,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Children's Contracts,31116,Payment of Grants,470050,02/09/2020,5100436308,67125.0,Refuge,111196,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Children's Contracts,31116,Payment of Grants,470050,02/09/2020,5100436308,67125.0,Refuge,111196,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,HOL,Insurance Fund,91100,Insurance Premium,443350,02/09/2020,5100436321,250497.24,Aon Ltd,102117,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Waste Recycling,41820,CRC Contract,530450,10/08/2020,5100436481,4360.2,Environmental Waste Controls Ltd,102474,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Highways LTP,82004,Environmental Works,531050,11/09/2020,5100436508,2100.0,Blue Arrow Traffic Management Ltd,109292,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Highways LTP,82004,Consult.& Prof. Serv,440000,11/09/2020,5100436509,14415.0,Blue Arrow Traffic Management Ltd,109292,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Open Spaces,82006,Materials,400500,22/09/2020,5100436520,4510.18,Wicksteed Leisure Ltd,105436,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,Translation Service,52202,Agency Supply ,180000,02/09/2020,5100436525,3265.57,DA Languages Ltd,115660,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Education Leadership & Quality,32100,Subscriptions,470000,10/08/2020,5100436527,516.0,Herts for Learning Ltd,117169,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Traffic and Safety,44350,Traffic Section,531150,18/09/2020,5100436580,802.12,TMP UK Ltd,108498,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,NEO,Neighbourhood & Community Other,83002,Consult.& Prof. Serv,440000,10/08/2020,5100436596,3750.0,Baker Mallett LLP,116160,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,Welfare Support,10360,"Campaigns,  Projects and Events",491950,08/09/2020,5100436599,9210.0,Changing Lives in Cheshire,111607,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Highways LTP,82004,Signal Equipment,531650,10/08/2020,5100436615,925.0,Siemens Mobility Limited,101162,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Petrol,300050,10/08/2020,5100436616,1776.53,Standard Fuel Oils Ltd,117478,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,Professional Development Centre,21000,Learning Resources,400100,12/08/2020,5100436756,23965.0,Learning Pool Limited,102937,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,Financial Protection Team,56130,Consult.& Prof. Serv,440000,17/08/2020,5100436821,699.04,Allied Publicity Services (Man) LTD,117019,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,NEO,Neighbourhood & Community Other,83002,Consult.& Prof. Serv,440000,12/08/2020,5100436822,4165.0,Baker Mallett LLP,116160,2020,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,DSG Independent School Fees,32011,Fees (Including Agents Fees),441450,12/08/2020,5100436823,1402.94,Bright Futures Care Ltd,114579,2020,September
