BODY,BODY NAME,SERVICE CODE,ORGANISATIONAL UNIT,ORGANISATIONAL UNIT CODE,EXPENDITURE CATEGORY,EXPENDITURE CODE,DATE (POSTING DATE),TRANSACTION NUMBER,AMOUNT,SUPPLIER NAME,SUPPLIER ID,Year,Month
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Land Drainage,44120,Consult.& Prof. Serv,440000,13/11/2019,5100410876,4850.0,Yotta Limited,100880,2020,May
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Equipment Store,54930,Equipment Purchase & Contract,400000,10/03/2020,5100413875,1000.0,Aidapt Bathrooms Ltd,100366,2020,May
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Equipment Store,54930,Equipment Purchase & Contract,400000,10/03/2020,5100413875,875.0,Aidapt Bathrooms Ltd,100366,2020,May
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Telecare/Sensory,54560,Health Awareness,441950,17/12/2019,5100414444,875.0,Doro AB,115633,2020,May
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Telecare/Sensory,54560,Health Awareness,441950,17/12/2019,5100414444,7560.0,Doro AB,115633,2020,May
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Telecare/Sensory,54560,Health Awareness,441950,17/12/2019,5100414444,1920.0,Doro AB,115633,2020,May
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,IT - Contracts,23600,Computer Software - Maintenance,450850,13/02/2020,5100420112,1041.2,Cdn Networks,101189,2020,May
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Telecare/Sensory,54560,Health Awareness,441950,28/02/2020,5100421478,632.0,Doro AB,115633,2020,May
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,COR,Sustainable Energy Management,60290,Maintenance of Plant & Machinery,250050,03/03/2020,5100421996,892.1,Sig Systems Ltd,117430,2020,May
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Vehicle & Plant Acq.,41312,Vehicle & Plant Purchase,301350,04/03/2020,5100422204,1700.0,GM Coachwork Ltd,111427,2020,May
