BODY,BODY NAME,SERVICE CODE,ORGANISATIONAL UNIT,ORGANISATIONAL UNIT CODE,EXPENDITURE CATEGORY,EXPENDITURE CODE,DATE (POSTING DATE),TRANSACTION NUMBER,AMOUNT,SUPPLIER NAME,SUPPLIER ID,Year,Month
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - IC Premises & Training,53280,Tipping Charges,442800,06/06/2020,5100426878,845.0,B & T Skip Hire,100921,2021,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - IC Premises & Training,53280,Tipping Charges,442800,06/06/2020,5100427547,700.0,B & T Skip Hire,100921,2021,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Equipment Store,54930,Equipment Purchase & Contract,400000,13/01/2021,5100449394,1530.1,Drive DeVilbiss Healthcare Ltd,101899,2021,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,NEO,IT Projects,83003,ICT Comms - Line Purchase,450150,17/06/2021,5100457754,11917.56,TNP - The Networking People,110271,2021,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Equipment Store,54930,Equipment Purchase & Contract,400000,13/05/2021,5100460029,1810.0,Enable Access Limited,117133,2021,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Street Lighting Client,44241,Lighting Energy Char,531550,15/09/2021,5100460595,623.01,Npower Electricity,101884,2021,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Equipment Store,54930,Supplies & Services - Covid 19,499919,13/05/2021,5100461289,3600.0,Joerns Healthcare Ltd,106924,2021,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Highways LTP,82004,Materials,400500,02/09/2021,5100461541,2632.88,Jones Lighting Ltd,103483,2021,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Equipment Store,54930,Equipment Purchase & Contract,400000,23/08/2021,5100461608,1467.0,Osprey Healthcare,106076,2021,September
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Maintenance Work - Sub Contractors,301150,27/05/2021,5100462510,1300.0,Gunn Jcb Ltd,104763,2021,September
