BODY,BODY NAME,SERVICE CODE,ORGANISATIONAL UNIT,ORGANISATIONAL UNIT CODE,EXPENDITURE CATEGORY,EXPENDITURE CODE,DATE (POSTING DATE),TRANSACTION NUMBER,AMOUNT,SUPPLIER NAME,SUPPLIER ID
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Facilities Management,41422,Materials,400500,05/10/2020,5100440835,1636,Bounceback Safety Surfaces Ltd,106410
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Time Square MSCP,44321,Equipment Purchase & Contract,400000,02/11/2020,5100443294,1659.68,APT Skidata Ltd,116308
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Time Square MSCP,44321,Equipment Purchase & Contract,400000,09/11/2020,5100443822,2216.62,APT Skidata Ltd,116308
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Facilities Management,41422,Materials,400500,06/12/2020,5100446380,1636,Bounceback Safety Surfaces Ltd,106410
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Equipment Store,54930,Equipment Purchase & Contract,400000,01/03/2021,5100452983,930,Enable Access Limited,117133
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Effective Practice,33300,Computer Software - Maintenance,450850,17/02/2021,5100452986,15677.16,Caci Ltd,101863
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Telecare/Sensory,54560,Equipment Purchase & Contract,400000,11/03/2021,5100453099,509.8,Sarabec Limited,100441
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,Business Intelligence,12300,Subscriptions,470000,26/02/2021,5100453762,2125,Improvement & Development Agency,104811
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Public Health-Env Control,41543,Materials,400500,12/03/2021,5100455325,627,Killgerm Chemicals Ltd,104853
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Vehicle & Plant Acq.,41312,Vehicle & Plant Purchase,301350,16/03/2021,5100455586,7245,Balmers Garden Machinery,103669
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,OT/Equip - Childrens,54315,Equipment Purchase & Contract,400000,17/03/2021,5100455940,565,Redacted for personal data,100953
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Call,54550,Equipment Purchase & Contract,400000,22/03/2021,5100456305,1849.5,Cair (UK) Ltd,117944
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,SEND IASS,31605,Computer Software - Maintenance,450850,23/03/2021,5100456400,4580,Dizions Ltd,118182
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Construction Stores Overhead Account,41320,Materials,400500,23/03/2021,5100456499,821.52,Cromwell Polythene Ltd,112559
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Construction Stores Overhead Account,41320,Materials,400500,23/03/2021,5100456500,1460.2,Cromwell Polythene Ltd,112559
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Construction Stores Overhead Account,41320,Materials,400500,23/03/2021,5100456500,1346.56,Cromwell Polythene Ltd,112559
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Highways Other,82005,Environmental Works,531050,12/05/2021,5100457181,23478.5,Network Rail Commercial Property Sp,105053
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Or Winter Maint,44280,Precautionary Salting,531750,12/05/2021,5100457182,5765.51,Salt Union Ltd,105104
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Maintenance Work - Sub Contractors,301150,01/04/2021,5100457378,1946.83,Wyke Commercial Services Ltd,115203
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,Change Delivery,52210,Computer Software - Maintenance,450850,11/05/2021,5100457516,2520,Firmstep Limited,116490
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,Change Delivery,52210,Computer Software - Maintenance,450850,11/05/2021,5100457516,2260,Firmstep Limited,116490
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Local Plan,43445,Consult.& Prof. Serv,440000,06/04/2021,5100457715,2500,Oxford Economics Ltd,115350
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENP,Environment & Regeneration,82000,Materials,400500,13/05/2021,5100457717,892.8,Newey & Eyre Ltd,104965
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENP,Environment & Regeneration,82000,Materials,400500,13/05/2021,5100457758,905,Signify Commercial UK Limited,105020
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Telecare/Sensory,54560,Consult.& Prof. Serv,440000,14/04/2021,5100458014,10810,Xylem Resourcing,117981
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Crematorium,41411,Resaleables,400600,12/04/2021,5100458050,2713,Vivedia Ltd,116354
