BODY,BODY NAME,SERVICE CODE,ORGANISATIONAL UNIT,ORGANISATIONAL UNIT CODE,EXPENDITURE CATEGORY,EXPENDITURE CODE,DATE (POSTING DATE),TRANSACTION NUMBER,AMOUNT,SUPPLIER NAME,SUPPLIER ID
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Highways LTP,82004,Environmental Works,531050,08/11/2019,5100406876,7873.51,Network Surfacing Ltd,113235
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Walton Estate,41430,Materials,400500,10/10/2019,5100406999,1074,Lubbe & Sons (Bulbs) Ltd,101152
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Priority Infrastructure,82009,Environmental Works,531050,30/10/2019,5100409253,1366.74,BT,104542
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Core Operational Business,41730,Materials,400500,29/11/2019,5100412613,600,Walkers Plant Centre,116774
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Equipment Store,54930,Equipment Purchase & Contract,400000,09/12/2019,5100413811,1076.2,Drive DeVilbiss Healthcare Ltd,101899
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Intermediate Care Assessment,54630,Stationery,430150,17/01/2020,5100417244,1232,Banner Group Ltd,111644
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Waste Recycling,41820,MRF Recycling,530750,06/02/2020,5100419313,23663.19,UPM Kymmene (UK) Ltd,115351
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Assisted Living,54310,Advertisings-Jobs,190000,19/02/2020,5100420546,1334.6,College of Occupational Therapists,109015
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Or Winter Maint,44280,Equipment Purchase & Contract,400000,21/02/2020,5100420921,1972,Glasdon Uk Ltd,105365
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Equipment Store,54930,Equipment Purchase & Contract,400000,26/02/2020,5100421195,941.1,Drive DeVilbiss Healthcare Ltd,101899
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Construction Stores Overhead Account,41320,Equipment Purchase & Contract,400000,27/03/2020,5100421444,1428,Smith Bros (Caer Conan) Wh'Sale Ltd,105136
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Maintenance Work - Sub Contractors,301150,26/03/2020,5100421972,1409.17,Turner Groundscare,105201
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,NEP,Neighbourhood & Community Services,83000,Consult.& Prof. Serv,440000,07/03/2020,5100422607,1600,Walker Simpson Architects,115058
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENP,Environment & Regeneration,82000,Stores Purchases,401300,07/03/2020,5100422634,790.45,Jones Lighting Ltd,103483
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Street Lighting (Other Works),44243,Lighting Emerg Normal os Hs,531400,07/03/2020,5100422634,3222.01,Jones Lighting Ltd,103483
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,Welfare Support,10360,Computer Software - Maintenance,450850,07/03/2020,5100422667,8000,Capita Business Services Ltd,105516
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Priority Infrastructure,82009,Environmental Works,531050,07/03/2020,5100422669,5680,W A P Lawton & Son Ltd,105431
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Collaborative Training Group,33301,Training,190150,09/03/2020,5100422753,2400,Maccalin Associates Ltd,116149
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Collaborative Training Group,33301,Training,190150,09/03/2020,5100422754,4800,Maccalin Associates Ltd,116149
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Development Control,43430,Other Advertising & Publicity,450050,09/03/2020,5100422761,759.78,TMP UK Ltd,108498
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Equipment Store,54930,Equipment Purchase & Contract,400000,09/03/2020,5100422768,1252.32,Performance Health,105137
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Priority Infrastructure,82009,Environmental Works,531050,09/03/2020,5100422791,1420,W A P Lawton & Son Ltd,105431
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Call,54550,Equipment Purchase & Contract,400000,09/03/2020,5100422798,2140,Redacted due to personal data,114604
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Building Maintenance Environment & Regen,82001,Consult.& Prof. Serv,440000,18/03/2020,5100422873,1220,Eskdale Restoration Ltd,117469
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Highways LTP,82004,Stores Purchases,401300,10/03/2020,5100422877,13431.17,Jones Lighting Ltd,103483
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Highways LTP,82004,Stores Purchases,401300,10/03/2020,5100422878,7191.92,Jones Lighting Ltd,103483
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,Transformation Team,52210,Consult.& Prof. Serv,440000,24/03/2020,5100422880,1640,Progressive,116968
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Development Control,43430,Consult.& Prof. Serv,440000,10/03/2020,5100422885,750,Redacted due to personal data,117421
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Development Control,43430,Consult.& Prof. Serv,440000,10/03/2020,5100422886,1950,Redacted due to personal data,117421
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Permanence staff teams,31023,Fees (Including Agents Fees),441450,10/03/2020,5100422904,5050,Brooks & Brooks Recruitment,116683
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,DSG - Medical Needs,32002,Rent Of Premises,220000,10/03/2020,5100422907,624.31,Livewire,110692
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Temporary Accomodation,43652,Maintenance Work - Sub Contractors,301150,11/03/2020,5100422960,1200,DANL Limited,116459
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,DSG Inter Authority Recoupment,32009,Fees (Including Agents Fees),441450,11/03/2020,5100422978,4535,Valley School,400541
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Equipment Store,54930,Equipment Purchase & Contract,400000,11/03/2020,5100422983,750,Nottingham Rehab Limited,101513
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,Transformation Team,52210,Consult.& Prof. Serv,440000,24/03/2020,5100422988,2050,Progressive,116968
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Equipment Store,54930,Equipment Purchase & Contract,400000,11/03/2020,5100423039,3980,Prism Medical UK,108616
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,NEO,IT Projects,83003,Computer Software - Maintenance,450850,18/03/2020,5100423043,34382,4net Technologies Ltd,116339
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,PIO,People & Improvement Other,85002,Lifts from Stock,400850,11/03/2020,5100423049,1094,AMW Lift & Mobility Services Ltd,112766
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,PIO,People & Improvement Other,85002,Lifts from Stock,400850,11/03/2020,5100423050,5140,AMW Lift & Mobility Services Ltd,112766
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,PIO,People & Improvement Other,85002,Lifts from Stock,400850,11/03/2020,5100423052,905,AMW Lift & Mobility Services Ltd,112766
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Housing Projects,82008,Building Work,200850,11/03/2020,5100423057,16504.95,D J Hughes Construction Ltd,103261
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Neighbourhood Co-o South,51308,Furniture & Fittings,400150,12/03/2020,5100423128,1040,Apple Blinds Ltd,116895
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Priority Infrastructure,82009,Consult.& Prof. Serv,440000,13/03/2020,5100423164,8498,Mott Macdonald Ltd,104950
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Highways LTP,82004,Equipment Purchase & Contract,400000,13/03/2020,5100423167,26519,NSL Services Group,113509
