BODY,BODY NAME,SERVICE CODE,ORGANISATIONAL UNIT,ORGANISATIONAL UNIT CODE,EXPENDITURE CATEGORY,EXPENDITURE CODE,DATE (POSTING DATE),TRANSACTION NUMBER,AMOUNT,SUPPLIER NAME,SUPPLIER ID
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Env. Health Public Protection,41530,Training,190150,21/07/2020,5100434915,530,Bond Solon Training Ltd,108869
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Fair Trading & Investigations,41500,Training,190150,21/07/2020,5100434916,2120,Bond Solon Training Ltd,108869
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,CIN Team 4,31014,Fees (Including Agents Fees),441450,29/09/2020,5100440304,1076,Lextox,114551
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Schools (Street Scene),41733,Materials,400500,09/11/2020,5100444102,893.32,M C & M A Stewart Haulage Ltd,105159
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,ICT Centralised Budget,23100,Computer Software - Maintenance,450850,22/02/2021,5100453174,26086.58,Agile Applications Limited,100376
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Highways Other,82005,Consult.& Prof. Serv,440000,12/07/2021,5100457018,2398.16,BT,104542
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Highways LTP,82004,Environmental Works,531050,12/07/2021,5100458221,5682,George Cox & Sons,105471
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Waste Recycling,41820,Bring Site Charges,443150,28/07/2021,5100458238,902.1,Wsr Recycling Ltd,101196
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENP,Environment & Regeneration,82000,ICT Comms - Device Purchase,450350,13/04/2021,5100458349,1200,TNP - The Networking People,110271
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,IT - Contracts,23600,Computer Software - Purchase,450800,13/04/2021,5100458377,1284.51,Daisy Communications Ltd,107866
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,NEP,Neighbourhood & Community Services,83000,Consult.& Prof. Serv,440000,15/07/2021,5100458920,2850,Pm Surveys Ltd,100711
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,School Brow Depot,41330,Hazardous Waste,530600,19/07/2021,5100459405,850,Albion Environmental Ltd,103153
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Walton HLF Project,41440,Training,190150,19/07/2021,5100459659,4013.76,Walton Lea Partnership,102953
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,DSG Inter Authority Recoupment,32009,Fees (Including Agents Fees),441450,19/07/2021,5100460357,6403.54,Lancashire County Council,410062
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,South Warington M'way Junction,40057,Consult.& Prof. Serv,440000,30/06/2021,5100460777,5623,Atkins Ltd,105752
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Highways LTP,82004,Materials,400500,12/07/2021,5100460827,27664.68,George Cox & Sons,105471
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Highways LTP,82004,Consult.& Prof. Serv,440000,12/07/2021,5100460952,1000,Pm Surveys Ltd,100711
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Highways Other,82005,Environmental Works,531050,14/07/2021,5100461016,3680,Security Access Systems Ltd,117650
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,HOL,Insurance Fund,91100,Insurance Claims,443400,12/05/2021,5100461071,1653.3,Salford City Council,410033
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Highways S106,82003,Materials,400500,12/07/2021,5100461099,10775,George Cox & Sons,105471
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Highways Other,82005,Consult.& Prof. Serv,440000,13/07/2021,5100461111,4200,W A P Lawton & Son Ltd,105431
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,DSG Independent School Fees,32011,Fees (Including Agents Fees),441450,09/07/2021,5100461148,15703.22,KS Education Limited,118242
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Equipment Store,54930,Equipment Purchase & Contract,400000,18/05/2021,5100461691,1692.4,Newlyn Healthcare Ltd,101429
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Maintenance Work - Sub Contractors,301150,20/05/2021,5100461802,965.99,North West Truck Services Ltd,104980
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Veh Maint. Materials,300000,13/07/2021,5100461921,750.14,Dennis Eagle Parts,104661
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Veh Maint. Materials,300000,12/07/2021,5100462216,618.81,Turner Groundscare,105201
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Call,54550,Health Awareness,441950,25/05/2021,5100462268,1849.5,Cair (UK) Ltd,117944
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Contracts - SM Commissioning Team 1,55910,Drug Action,443600,22/07/2021,5100462381,129229.58,CGL,440139
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Prison Substance Misuse Services,53840,Drug Action,443600,22/07/2021,5100462382,94806.67,CGL,440139
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Facilities Management,41422,Equipment Purchase & Contract,400000,27/05/2021,5100462442,1200,David Webster & Sons Ltd,102202
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Development Control,43430,Consult.& Prof. Serv,440000,27/05/2021,5100462446,5062.5,Tameside M B,440155
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Veh Maint. Materials,300000,12/07/2021,5100462500,566.85,Turner Groundscare,105201
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Fair Trading & Investigations,41500,Consult.& Prof. Serv,440000,12/07/2021,5100462540,1064,Vivid Resourcing Limited,115752
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Veh Maint. Materials,300000,20/07/2021,5100462971,3690.34,Turner Groundscare,105201
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Highways LTP,82004,Consult.& Prof. Serv,440000,26/07/2021,5100463067,2520,NSL Services Group,113509
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Vehicle Hire Charges,320000,12/07/2021,5100463069,540,P S D Vehicle Rental,100551
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,Democratic Services,11400,"Campaigns,  Projects and Events",491950,04/06/2021,5100463081,600,CIPFA,104607
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,Financial Protection Team,56130,Consult.& Prof. Serv,440000,17/06/2021,5100463239,504,Woolton Physiotherapy Clinic,117516
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,Financial Protection Team,56130,Consult.& Prof. Serv,440000,17/06/2021,5100463240,792,Woolton Physiotherapy Clinic,117516
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,Financial Protection Team,56130,Consult.& Prof. Serv,440000,07/06/2021,5100463243,1836,Woolton Physiotherapy Clinic,117516
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Vehicle Hire Charges,320000,07/06/2021,5100463244,3069.62,West Wallasey Car Hire Ltd,103584
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Highways Other,82005,Technical Surveys,532050,09/06/2021,5100463257,10521.99,Ginger Lehmann Ltd,116636
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Construction Stores Overhead Account,41320,Security Systems,250000,19/07/2021,5100463299,530.18,Safeguard Nw Ltd,105412
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Telecare/Sensory,54560,Health Awareness,441950,15/07/2021,5100463329,2280,Redacted for personal data,114604
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,Translation Service,52202,Agency Supply - GF,180000,07/06/2021,5100463330,5345.53,DA Languages Ltd,115660
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Equipment Store,54930,Supplies & Services - Covid 19,499919,11/06/2021,5100463603,3087,Hill Rom Ltd,110707
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Traffic and Safety,44350,Unlit Signs,531200,16/06/2021,5100463756,783.55,Glasdon Uk Ltd,105365
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Local Plan,43445,Consult.& Prof. Serv,440000,26/07/2021,5100463760,6988.33,G L Hearn Limited,114557
