OBJECTID,WD19CD,WD19NM,WD19NMW,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length,GlobalID
1,E05000026,Abbey, ,544433,184379,0.081277,51.53983,1282925.0014801,6244.88501467796,f58f4725-0c84-41eb-8ec0-648593128ca5
2,E05000027,Alibon, ,549247,185196,0.150987,51.54592,1364442.12162018,6353.91764044644,6c3239ec-632c-4be6-924d-65b2d9b5e3f3
3,E05000028,Becontree, ,546863,185869,0.116912,51.5526,1288081.76992798,6341.64581702421,01d9e929-3583-4fcc-b71d-2234c05eef34
4,E05000029,Chadwell Heath, ,548266,189340,0.138596,51.58342,3384190.44783783,9603.41157108751,19e2e2c6-095f-4477-8654-2b30953fb4f0
5,E05000030,Eastbrook, ,550774,186272,0.173453,51.55519,3450576.54776001,8987.80224820554,f1597e10-eb80-4725-b410-5540a6ec6d5b
6,E05000031,Eastbury, ,546074,183978,0.104756,51.53581,1439218.19690704,6828.1438710507,cc7b2bee-7813-49a8-8f5d-0e5f904f27be
7,E05000032,Gascoigne, ,544762,183580,0.085689,51.53257,1138715.73904419,5947.83020850527,dfe453cb-b981-459e-bc39-5907a7afb82e
8,E05000033,Goresbrook, ,548007,184060,0.132641,51.53604,1277822.95815277,5703.29651756231,e89f8d09-4626-4454-b119-7cfd22b840d5
9,E05000034,Heath, ,549340,186620,0.152931,51.55869,2001301.29299927,8064.9527624832,81534bdc-010f-4774-916e-e1f2d4bd57ba
10,E05000035,Longbridge, ,545276,184914,0.093644,51.54443,1645288.95414734,6377.03155542726,bf7719d7-5249-499b-ab16-d016902f693c
11,E05000036,Mayesbrook, ,547124,185052,0.120332,51.54519,1856444.30871582,7635.29926835939,acc592af-8591-46ff-ba6a-82f2c98f5acb
12,E05000037,Parsloes, ,548150,185599,0.135348,51.54983,1243847.20537567,6796.70598930549,b0d76ab5-139a-4516-8033-75de5977c684
13,E05000038,River, ,549432,182817,0.152645,51.5245,3543669.35321045,10383.7070517469,1f5adb64-50e1-44e4-a1a3-aa25001d7d2a
14,E05000039,Thames, ,547155,182705,0.1198,51.52409,7888495.48071289,13329.8852702118,c25c5b5c-ea7f-4378-b9f5-481e93584804
15,E05000040,Valence, ,548153,186867,0.135925,51.56123,1292828.18095398,5791.45630438563,72623179-142a-4270-a205-2de548b891d8
16,E05000041,Village, ,550361,184190,0.166611,51.53659,2147501.07157135,7860.12033991781,4bdb1037-037e-4fa6-be1e-d902afcfd3f1
17,E05000042,Whalebone, ,548545,187662,0.141911,51.56827,1553977.96258545,7013.80320701682,3292ba95-3562-4401-8881-33e88c515467
18,E05000043,Brunswick Park, ,528433,193715,-0.14588,51.6276,3175248.42088318,8411.15172031153,1623f7c4-bda8-4e46-813b-5055a34e2e42
19,E05000044,Burnt Oak, ,520522,190761,-0.26113,51.6028,2067226.00695801,6779.83385206719,57c0c34c-4baf-443f-95d2-36d94519917d
20,E05000045,Childs Hill, ,524656,186687,-0.20291,51.56529,3093004.36884308,9327.44865575852,aa1e410b-77d0-4f2d-8d15-146047dff455
21,E05000046,Colindale, ,521442,189584,-0.24826,51.59202,2636243.08140564,8455.92241230769,da521db1-b9fe-40d3-bef5-a64f38fceb11
22,E05000047,Coppetts, ,528052,191830,-0.15207,51.61075,2720606.9200058,7975.26647758079,f6b660c0-d2e0-44b3-abde-273a02fbee52
23,E05000048,East Barnet, ,527475,195754,-0.15897,51.64614,3749406.44200134,9677.14401246098,6da0e83f-f4ec-4ebc-977a-20ccee2ef386
24,E05000049,East Finchley, ,526811,190033,-0.17063,51.59488,2509887.79894257,8188.45375106017,46c9a94b-e21e-4617-9339-c4eeb43cbb7e
25,E05000050,Edgware, ,518863,193351,-0.2842,51.62643,5556470.24342346,12882.6957931172,94a39e7a-94da-4c08-93e2-25bbf3182eaa
26,E05000051,Finchley Church End, ,524690,190195,-0.20118,51.59681,2725663.47789001,8223.78596667654,a1f65968-7bed-4639-a5fd-309046ee3f23
27,E05000052,Garden Suburb, ,526124,188445,-0.18112,51.58076,4727042.00834656,10448.1255943854,d5aacc04-6892-4f42-8689-907c5d0ffce8
28,E05000053,Golders Green, ,523819,187290,-0.21477,51.57089,2972917.99311066,9407.98202116642,f61d3cf2-65b6-4635-bda7-d37d7c81f8e4
29,E05000054,Hale, ,520890,193803,-0.25477,51.63006,5423187.92069244,15683.3988111888,2d49ada2-1287-48a8-af45-c63b29c5d80d
30,E05000055,Hendon, ,523084,189557,-0.22458,51.59143,2838690.68197632,7781.57802165579,5b7a3ece-59c8-4e06-8dc4-dc541b949e9e
31,E05000056,High Barnet, ,523890,196696,-0.21043,51.65541,8306625.07172394,19783.9215002005,af4f3181-8231-4abe-a304-bfac20533471
32,E05000057,Mill Hill, ,523111,192066,-0.22331,51.61397,9389243.63941193,14778.2583793767,04a5a5fd-6694-40ac-81dc-e4b50b9c2561
33,E05000058,Oakleigh, ,526687,194738,-0.17072,51.63719,3318593.80805969,11713.9037168133,35768754-8fab-453f-8467-e16a07a21423
34,E05000059,Totteridge, ,524649,193508,-0.20059,51.62659,8774455.98777008,17435.7533775534,dc0b4f86-2b04-4b8f-82f7-1e1810188967
